name,description,category,department,eligibilityCriteria,benefits,applicationProcess,requiredDocuments,sourceUrl,incomeLimit,ageLimit,familySizeLimit,stateSpecific,isActive
Death Benefit (A.B.O.C.W.W.B),"The scheme ï¿½ï¿½ï¿½Death Benefitï¿½ï¿½ï¿½ was started by the Assam Building and Other Construction Workers Welfare Board (A.B.O.C.W.W.B), Labour Welfare Department, Government of Assam. Under this scheme, financial assistance shall be given to the nominees/dependents of a registered worker towards death benefit, in case of normal death or due to an accident during the course of",Social Welfare,Government of India,The applicant should be a permanent resident of Assam. 1. The applicant should be a nominee/dependent of deceased worker. 1. The deceased worker should have been engaged in any building and other construction work. 1. The deceased worker should have been registered with the Assam Building and Other Construction Workers Welfare Board. 1. The deceased worker should have had an active membership with the Board.,"The financial assistance of ï¿½ï¿½ï¿½50,000/- shall be given to the nominees/dependents of a registered construction worker in case of normal death during the course of employment. 1. The financial assistance of ï¿½ï¿½ï¿½3,00,000/- shall be given to the nominee/dependents of a registered construction worker, in case the death is due to an accident during the course of e","&gt; Application Process to apply under the scheme: Step 01: The eligible applicants may apply through the portal. [https://abocwwb.assam.gov.in/](https://abocwwb.assam.gov.in/) Step 02: The eligible applicants may login in through ID No./registered phone number. On the home page of the portal, click on ï¿½ï¿½ï¿½[Login Now](https://abocwwb.assam.gov.in/index.php/Base/userLogin)ï¿½ï¿½ï¿½ and enter the Mobile Number or User ID. OTP received on the registered mobile number should be entered to complete the login. Step 03: The individual console of the applicant gets opened with various functions such as detail updating, Fees due, and benefits eligible. Step 04: Click on ï¿½ï¿½ï¿½Benefitï¿½ï¿½ï¿½ and select the applicable scheme (Death Benefit) under the benefit and the portal redirects to an online application form specific to the scheme. Step 05: The applicant may fill up the application with all mandatory fields and upload the necessary documents. Step 06: The applicant submits thetrack","ABOCWWB ID Card of the deceased worker 1. Applicant&amp;#39;s Photo 1. Signature of the Applicant 1. Attested Copy of ID Card of the Deceased Worker 1. Death Certificate Issued by Government Doctor/Appropriate Authority 1. Succession Certificate 1. Certificate of Guardianship with consent from the other family members and minor nominee 1. Copy of Payslip of Account Paybook 1. Caste Certificate (Other than General category) 1. Applicant&amp;#39;s Identification Certificate from the Government Gaonburah and Village Panchayat Officer 1. Loan Recovery Documents, if any 1. Age Proof Certificate for minor 1. Bank account details 1. Any other related documents",https://labourcommissioner.assam.gov.in/portlet-innerpage/various-welfare-benefits-for-registered-construction-workers,,,,Assam,True
Vegetable Development Scheme,"The scheme ï¿½ï¿½ï¿½Vegetable Development Schemeï¿½ï¿½ï¿½ was launched by the Department of Agriculture &amp; Farmersï¿½ï¿½ï¿½ Welfare, Government of Meghalaya to promote vegetable production through HYV seeds/Hybrids/Improved/Open Pollinated seedlings, including assis",Agriculture,Government of India,The applicant/farmer should be a resident of Meghalaya. 1. The small and marginal farmers having sufficient available cultivable land can apply under the scheme. Note: The applicant farmer can avail of the benefits of the scheme on a first come first serve basis.,"> Pattern of Assistance: - Supply of seeds/ seedlings and garden tools at 50% sales subsidy. - Demonstration on improved methods of vegetable cultivation at the rate 2,600 per farmer is provisioned. > Type of Assistance and Entitlement (If Any): Sl. No.EntitlementOwantum of Assistance1To promote vegetable production by providing hybrid, HYV, and OP quality vegetable seed to farmers including horticultural tools and implements.50% sale to the farmers.2To promote the production of off-season and high-value vegetables under protected cultivation by providing poly houses to farmers.100% assistance for 100sqm per unit area.3To assist farmers in trellis making for squash and other creepers vegetables with locally available materials like bamboo wood etc.Assistance is limited to 200 sqm per beneficiary @ ï¿½ï¿½ï¿½10,000","&gt; Application Process: Step 01: The eligible bonafide farmer can apply/write an application on plain paper. Step 02: Along with the application, attach copies of all the mandatory documents (self-attest, if required). Step 03: Submit the duly filled and signed application along with the documents at your nearest office of the Horticulture Development Officer of a CD Block/Horticulture Circle. &gt; Mode of Selection of Beneficiary(s): The eligible bonafide farmers will be selected on a first come first serve basis. &gt; Whom to Contact: Below officials can be contacted for any concerns or queries: - [District Horticulture Officer](https://megagriculture.gov.in/PUBLIC/contacts_horticulture.aspx) - Horticulture Development Officer",Passport-size photograph 1. Identity Proof 1. Bank passbook/account details 1. Documents proof of being a small or marginal farmer 1. Any other document as required,https://megagriculture.gov.in/PUBLIC/schemes_ShowSchemesH.aspx?schid=95,,,,Meghalaya,True
Free Distribution of Blankets and Chappals to Senior Citizen,"The scheme ï¿½ï¿½ï¿½Free Distribution of Blankets and Chappals to Senior Citizen&quot; was launched by the Department of Social Welfare, Government of Puducherry. The objective of this scheme is to enable the poor senior citizens, aged 60 years and above and residing in Puducherry, to receive blankets and chappals. The applicant should be a recipient of Old Age Pension.",Social Welfare,Government of India,- The applicant should be a Native/Resident of the Union Territory of Puducherry. - The age of the applicant should be 60 years or above. - The applicant should be a recipient of Old Age Pension.,One Blanket and One Pair of Chappals Every Year.,"Step 1: The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. OR The interested applicant should take print of the [prescribed format](https://socwelfare.py.gov.in/senior-citizen-download-forms) of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the authority given below - - Puducherry: The Deputy Director, Differently Abled Section, Directorate of Social Welfare. - Karaikal: The Assistant Director, Social Welfare Department (Sub Of","- Aadhaar Card. - Residence-cum-nativity Certificate, Issued by the Competent Authority. - Recent Passport-size Photograph. - Bank Passbook. - Address Proof. - Age Proof. - Ration Card.",https://socwelfare.py.gov.in/free-distribution-blankets-and-chappals-senior-citizensabove-60-years,,,,Puducherry,True
Cash Award (A.B.O.C.W.W.B),"The ï¿½ï¿½ï¿½Cash Awardï¿½ï¿½ï¿½ scheme was started by the Assam Building and Other Construction Workers Welfare Board (A.B.O.C.W.W.B), Labour Welfare Department, Government of Assam. Under this scheme, cash awards shall be given to the three male &amp;amp; three female children of the registered construction workers in each district to those students who score 75% or above, 65% or less than 75%, and 55% or less than 65% mark in HSLC, AHM and H.S. ex",Education,Government of India,"The applicant student should be a permanent resident of Assam. 1. The applicantï¿½ï¿½ï¿½s parent should be engaged in any building &amp;amp; other construction work. 1. The applicantï¿½ï¿½ï¿½s parent should be registered with the Assam Building and Other Construction Workers Welfare Board. 1. The parent of the applicant should have an active membership with the Board. 1. To avail of the benefits of the scheme, students must have obtained a minimum of 55% or above in the HSLC, AHM, and H.S. exa","The cash awards shall be given to the children of the beneficiaries who score 75% or above, 65% or less than 75%, and 55% or less than 65% mark @ ï¿½ï¿½ï¿½5,000/-, ï¿½ï¿½ï¿½4,000/- and ï¿½ï¿½ï¿½3,500/- respectively in HSLC, AHM, and H.S. examinations. 1. The Board offers cash awards to three male and three female children of the beneficiaries i","&gt; Application Process to apply under the scheme: Step 01: To avail the benefits of the scheme, the eligible applicant may apply through the Official Portal. [https://abocwwb.assam.gov.in/](https://abocwwb.assam.gov.in/) Step 02: On the home page of the portal, click on ï¿½ï¿½ï¿½[Login Now](https://abocwwb.assam.gov.in/index.php/Base/userLogin)ï¿½ï¿½ï¿½ and enter the registered Mobile Number or User ID. OTP received on the registered mobile number should be entered to complete the login. Step 03: The individual console of the applicant gets opened with various functions such as detail updating, Fees due, and benefits eligible. Step 04: Click on ï¿½ï¿½ï¿½Benefitï¿½ï¿½ï¿½ and select the applicable scheme (Cash Award Benefit) under the benefit and the portal redirects to an online application form specific to the scheme. Step 05: The applicant may fill up the application with all mandatory fields and upload the necessary documents. Step 06: The applicant submits the application force nu",ABOCWWB ID Card 2. Applicant&#39;s Photo 3. Signature of the Parent 4. Signature of the Applicant Student 5. Attested Copy of the ID Card of the Father/Mother 6. Attested Copy of the Pass Certificate from the Head of the Institution 7. Attested Copy of the Mark sheet of the Exam 8. Copy of Payslip of Account Paybook 9. Caste Certificate (Other than General category) 10. Any other relevant documents,https://labourcommissioner.assam.gov.in/portlet-innerpage/various-welfare-benefits-for-registered-construction-workers,,,,Assam,True
Swami Vivekananda Nishakta Swavlamban Protsahan Yojana,"Launched by the Department of Women, Child Development &amp;amp; Social Security, Government of Jharkhand, ï¿½ï¿½ï¿½Swami Vivekananda Nishakta Swavlamban Protsahan Yojanaï¿½ï¿½ï¿½ aims to provide social security to differently abled people aged five(5) years and above who are unable to sustain themselves with their own resources and are in need of financial assistance. It is a Direct Benefit Transfer (DBT) scheme, so pension the amount will be directly transferred to the bank account of the beneficiary.",Social Welfare,Government of India,"- The applicant should be a permanent resident of Jharkhand. - The applicant should have attained the age of five (5) years or more. - The applicant must belong to any of the following categories: 1. Rights of Persons with Disabilities Act, 2016 Section-2 (r) benchmark disability. 1. Section-2 (s) Persons with Disabilities. 1. Section-2 (t) Persons with Disability having high support needs. 1. Section-2 (zc) &quot;Specified Disabilityï¿½ï¿½ï¿½. - The applicant should have a Voter ID card and Aadhar Card (For applicantï¿½ï¿½ï¿½s aged 18 years and above) - The applicant should not be a beneficiary under any other Social Security pension scheme. - The applicant should not be retired or permanently employed in Central and State Government or in public sector undertakings. - The applicant or their spouse should not be a recipient of any family pension or pension from Central and State Government or from public sector undertakings. - Applicantï¿½ï¿½ï¿½s family is not an income","- Amount: ï¿½ï¿½ï¿½ 1,000/- per month to the eligible beneficiary.","Step 01: The interested applicant should request the prescribed format of the application from the office of Block Development Officer (BDO) / Sub Divisional Officer (SDO) / Circle Officer. Step 02: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 03: Submit the duly filled and signed application form along with the documents to the concerned authority at: - Office of the BDO in rural areas. - Office of the SDO or Circle Officer in Municipalities and notified areas.","Photocopy of disability related certificate. 1. Age proof (in case, applicants age is less than 18 years, Birth certificate or Attested Copy from the Headmaster/Principal is required). 1. Copy of Voter ID card (in case, applicants age is 18 years or more). 1. Copy Aadhar Card (in case the applicant does not have an Aadhar Card they need to submit a Self-declaration). 1. Copy of Bank Passbook.",https://www.jharkhand.gov.in/PDepartment/ViewDocument?id=D031DO00628062023124410458,,,,Jharkhand,True
State Award for the Welfare of the Handicapped,"The scheme ï¿½ï¿½ï¿½State Award for the Welfare of the Handicappedï¿½ï¿½ï¿½ was launched by the Department of Social Welfare, Government of Puducherry. In this scheme, the individuals and institutions are conferred awards on 3rd December every year (International Day for Differently Abled) to encourage them to become economically productive to serve the cause of differently able",Social Welfare,Government of India,- The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years. - The applicant should have a disability of 40% or above.,"- Outstanding Differently Abled Government / Private Employee: ï¿½ï¿½ï¿½ 10,000/-. - Outstanding Differently Abled Self-employed Persons: ï¿½ï¿½ï¿½ 10,000/-. - Individual Serving for the Cause of the Differently Abled: ï¿½ï¿½ï¿½ 15,000/-. - Institutions Serving the Cause of the Differently Abled: ï¿½ï¿½ï¿½ 25,000/- (Subject to Financial Selection by the State-level Committee). - Government Employer: Citation With Shield. - Private Employer: Citation With Shield. ***The awards are conferred on 3rd December every year (International Day fo","Step 1: The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. OR The interested applicant should take print of the [prescribed format](https://socwelfare.py.gov.in/sites/default/files/awardself.pdf) of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the authority given below - - Puducherry: The Deputy Director, Differently Abled Section, Directorate of Social Welfare. - Karaikal: The Assistant Director, Social Welfare Department (Su","- Aadhaar Card. - Ration Card. - Residence-cum-Nativity Certificate, issued by the competent authority. - Recent Passport-Size Photograph. - Bank Passbook. - Disability Certificate. - Pension Card (if applicable). - Necessary Documents for the Respective Category.",https://socwelfare.py.gov.in/state-award-welfare-handicapped,,,,Puducherry,True
Horticulture Mission for North Eastern Hill Scheme- Meghalaya,"The ï¿½ï¿½ï¿½Horticulture Mission for North Eastern Hill (HMNEH) Schemeï¿½ï¿½ï¿½ is a part of the Mission for Integrated Development of Horticulture (MIDH) scheme which was launched by the Ministry of Agriculture and Farmers Welfare, Government of India, being implemented for the overall development of Horticulture in North East and Himalayan states. The mission covers all NE States including Sikkim and three Himalayan states of Jammu &amp;amp; Kashmir, Himachal Pradesh, and Uttarakhand. The mission addresses the entire spectrum of horticulture from production to consumption through backward and forward linkages. In the state of Meghalaya, the ï¿½ï¿½ï¿½Horticulture Mission for North Eastern Hill (HMNEH) Schemeï¿½ï¿½ï¿½ is implemented by the Department of Agriculture &amp;amp; Farmersï¿½ï¿½ï¿½ Welfare, Government of Meghalaya for improving productivity, quality planting material, canopy management of fruit trees, support to marginal and small farmers, upscaling protected cul",Agriculture,Government of India,The applicant should be a permanent resident of Meghalaya. 1. The applicant should be a bonafide farmer engaged in agriculture. 1. The applicant should possess owned or leased land of at least 200 sqms.,"> Pattern of Assistance: Training, Awareness program, extension, Technology support, Subsidy on inputs, Improving marketability and marketing support.","&gt; Application Process: Step 01: The eligible bonafide farmer can apply/write an application on plain paper. Step 02: Along with the application, attach copies of all the mandatory documents (self-attest, if required). Step 03: Submit the duly filled and signed application along with the documents at the nearest office of the Horticulture Development Officer of a CD Block/ Horticulture Circle. &gt; Mode of Selection of Beneficiary(s): The bonafide farmers shall be selected on a first come first serve basis. &gt; Whom to Contact: 1. Horticulture Development Officer of respective CD Block/ Horticulture circle 2. [District Horticultural Officer](https://megagriculture.gov.in/PUBLIC/contacts_horticulture.aspx) 3. [Managing Director](https://meghalayasfac.nic.in/mgsfac/content/contact_us.php), Meghalaya Small Farmers&amp;#39; Agri-business Consortium (MgSFAC) 4. Director of Horticulture, Directorate of Horticulture",Passport-size photograph 2. Identity Proof 3. Bank passbook/account details 4. Documents proof of possessing own or leased land 5. Any other document as required,https://megagriculture.gov.in/PUBLIC/schemes_ShowSchemesH.aspx?schid=70,,,,Meghalaya,True
Supply of Sarees and Dhoties to Differently Abled Persons,"The scheme ï¿½ï¿½ï¿½Supply of Sarees and Dhoties to Differently Abled Personsï¿½ï¿½ï¿½ is launched by the Department of Social Welfare, Government of Puducherry. In this scheme, free dhothies and sarees or equivalent Direct Benefit Transfer are provided to the differently abled persons who are benefited under the monthly financial assistance schemes in lieu of Diwali / Pongal / local regional","Social Welfare & Empowerment, Sports & Culture",Government of India,"- The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years. - The annual income of the applicant should not exceed ï¿½ï¿½ï¿½ 75,000/- per annum. - The applicant should have a disability of 40% or above. - The applicant should be 18 years or above in age. - The applicant should have registered their name in the local anganwadi centre. - The applicant should be a recipient of Financial Assistance from the Directorate of Social Welfare, Government of Puduche",Free Dhothies and Sarees or Equivalent Direct Benefit Transfer during Diwali / Pongal / local regional festivals.,"Step 1: The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the authority given below - - Puducherry: The Deputy Director, Differently Abled Section, Directorate of Social Welfare. - Karaikal: The Assistant Director, Social Welfare Department (Sub Office).- Mahe / Yanam: The Welfare Officer (i\c), Social Welfare Department (Sub Office). Step 4: Request a receipt or acknowledgement from the concerned autho","Aadhaar Card. 1. Ration Card. 1. Residence-cum-Nativity Certificate, issued by the competent authority. 1. Recent Passport-Size Photograph. 1. Bank Passbook. 1. Financial Assistance ID Card. 1. Disability Certificate. In the absence of an Aadhaar Card; the applicant is required to provide his/her Aadhaar Enrolment ID along with ANY ONE of the following documents - 1. Bank or Post Office Passbook with Photo. 2. Permanent Account Number (PAN) Card. 3. Passport. 4. Ration Card. 5. Voter Identity Card. 6. MGNREGA Card. 7. Kisan Photo Passbook. 8. Driving license issued by the Licensing Authority under the Motor Vehicles Act, 1988 (59 of 1988). 9. Certificate of identity having a photo of such person issued by a Gazetted Officer or a Tehsildar on an official letterhead. 10. Any other document as specified by the Department.",https://socwelfare.py.gov.in/supply-sarees-and-dhoties-differently-abled-persons,,,,Puducherry,True
Post Harvest Marketing Scheme,"The ï¿½ï¿½ï¿½Post Harvest Marketing Schemeï¿½ï¿½ï¿½ was launched by the Department of Agriculture &amp;amp; Farmersï¿½ï¿½ï¿½ Welfare, Government of Meghalaya for the creation of post harvest marketing infrastructure. Under the scheme, assistance is provided for evacuation facilities like pick-up trucks/ mini trucks/Tata mobile to the Farmers Groups/ Farmers Clubs/ SHG farmers Co-Operative Societies/ FIG/ FPOs, etc. for transportation of farm produ",Agriculture,Government of India,The applicant should be a permanent resident of Meghalaya. 2. The applicant should be a bonafide farmer engaged in agriculture. 3. The applicant should possess owned or leased land of at least 0.2 hectares or more.,"> Pattern of Assistance: - Creation of infrastructural facilities for post harvest marketing, Grading Units etc. > Type of Assistance and Entitlement (If Any): Sl. No.EntitlementOwantum of Assistance1Evacuation facilities like pick-up trucks/ mini trucks/ Tata mobile to the Farmers Groups/ Farmers Clubs/ SHG farmers Co-Operative Societies/ FIG/ FPOs etc. for transportation of farm produce to the market.ï¿½ï¿½ï¿½2,000,00/- per Group or SHG. (50% Subsidy)2Village level Farmers training on Post Harvest Management.ï¿½ï¿½ï¿½189/ day/farmer. (Dail","> Application Process: Step 01: The eligible bonafide farmer can apply/write an application on plain paper. Step 02: Along with the application, attach copies of all the mandatory documents (self-attest, if required). Step 03: Submit the duly filled and signed application along with the documents at the nearest office of the Horticulture Development Officer of a CD Block/ Horticulture Circle. &gt; Mode of Selection of Beneficiary(s): The bonafide farmers shall be selected on a first come first serve basis. &gt; Whom to Contact: 1. Sectoral Officer, Department of Horticulture 2. [District Horticulture Officer](https://megagriculture.gov.in/PUBLIC/contacts_horticulture.aspx) 3. Horticulture Development Officer.",Passport-size photograph 2. Identity Proof 3. Bank passbook/account details 4. Documents proof of possessing own or leased land 5. Any other document as required,https://megagriculture.gov.in/PUBLIC/schemes_ShowSchemesH.aspx?schid=112,,,,Meghalaya,True
Group Insurance for Differently Abled Person Government Employees,"The scheme ï¿½ï¿½ï¿½Group Insurance for Differently Abled Person Government Employees&quot; was launched by the Department of Social Welfare, Government of Puducherry. In this scheme, in the case of death due to accident while in service the sum insured will be given to the family of the deceased empl",Financial Inclusion,Government of India,- The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years. - The applicant should have a disability of 40% or above. - The applicant should be a government servant.,"In case of death due to accident while in service the sum insured as follows will be given to the family of the deceased employee: - Group A: ï¿½ï¿½ï¿½ 1,20,000/-.- Group B: ï¿½ï¿½ï¿½ 60,000/-.- Group C: ï¿½ï¿½ï¿½ 30,000/-.- **Group D","Step 1: The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. OR The interested applicant should take print of the prescribed format of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the authority given below - - Puducherry: The Deputy Director, Differently Abled Section, Directorate of Social Welfare. - Karaikal: The Assistant Director, Social Welfare Department (Sub Office).- Mahe / Yanam: The Welfare Officer (i\c), Social Welfar","- Aadhaar Card. - Residence-cum-nativity Certificate, Issued by the Competent Authority. - Recent Passport-size Photograph. - Bank Passbook. - Disability Certificate / Medical Certificate. - Proof of being a Government Servant.",https://socwelfare.py.gov.in/group-insurance-differently-abled-person-government-employees,,,,Puducherry,True
Supply of Prosthetic Appliances to Differently Abled Persons,"The scheme ï¿½ï¿½ï¿½Supply of Prosthetic Appliances to Differently Abled Personsï¿½ï¿½ï¿½ was launched by the Department of Social Welfare, Government of Puducherry. In this scheme, prosthetic appliances are supplied to differently-abled persons free of cost to minimize the mobility challenges experienc",Social Welfare,Government of India,"- The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years. - The annual income of the applicant should not exceed ï¿½ï¿½ï¿½ 75,000/-. - The applicant should have a disability of 40% or ab","- Free Supply of Prosthetic Appliances Like Calipers, Crutches, Wheelchairs, Tricycles, Hearing Aids, Spectacles / Low Vision Aids Etc. NOTE: The Appliances Are Provided Upon the Advice of the Specialist / Medical Officers Concerned Who Are Attached to the Government General Hospital of Puducherry, Karaikal, Mahe and Yanam.","Step 1: The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. OR The interested applicant should take print of the [prescribed format](https://socwelfare.py.gov.in/sites/default/files/supply-prosthetic-appliances.pdf) of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the authority given below - - Puducherry: The Deputy Director, Differently Abled Section, Directorate of Social Welfare. - Karaikal: The Assistant Director, Social Wel","- Aadhaar Card. - Ration Card. - Residence-cum-nativity Certificate, Issued by the Competent Authority. - Recent Passport-size Photograph. - Bank Passbook. - Disability Certificate. - Caste Certificate. - Financial Assistance Identity Card.",https://socwelfare.py.gov.in/supply-prosthetic-appliances-differently-abled-persons,,,,Puducherry,True
Regional Centre for Training and Production of Mushroom,"The scheme ï¿½ï¿½ï¿½Regional Centre for Training and Production of Mushroomï¿½ï¿½ï¿½ was launched by the Department of Agriculture &amp;amp; Farmersï¿½ï¿½ï¿½ Welfare, Government of Meghalaya to train farmers in the method of mushroom cultivation and to supply quality spawn and pasteurised co",Agriculture,Government of India,"The applicant/farmer should be a permanent resident of Meghalaya. 1. The applicant should be a bonafide farmer engaged in agriculture, possessing own or leased land of at least 0.2 (hectares) or more. Note: The applicant farmer can avail of the benefits of the scheme on a first come first serve basis.","> Pattern of Assistance: Supply of spawns at 50% subsidy and compost at 50% subsidy. > Type of Assistance and Entitlement (If any): Sl. No.EntitlementOwantum of Assistance1Sale of Button, Oyster spawns, and compost to Mushroom growers at Mushroom Development Centre.50% subsidy sale to the growers.2Construction of compost shed under Assistant Director of Horticulture, Mushroom Development Centre, Upper Shillong.50% assistance3Financial assistance to Mushroom growers @ ï¿½ï¿½ï¿½22,000/- per unit under District Horticulture Officer, West Garo Hills.50% assi","&gt; Application Process: Step 01: The eligible bonafide farmer can apply/write an application on plain paper. Step 02: Along with the application, attach copies of all the mandatory documents (self-attest, if required). Step 03: Submit the duly filled and signed application along with the required documents at the nearest office of the Horticulture Development Officer of a Community Development Block/Horticulture Circle/District Horticulture Officer. &gt; Mode of Selection of Beneficiary(s): Bonafide and progressive farmers on a first come first serve basis. &gt; Whom to Contact: 1. [District Horticulture Officer](https://megagriculture.gov.in/PUBLIC/contacts_horticulture.aspx) 2. Assistant Director of Horticulture (Mushroom) Upper Shillong",Passport-size photograph 1. Identity Proof 1. Bank passbook/account details 1. Documents proof of possessing own or leased land 1. Any other document as required,https://megagriculture.gov.in/PUBLIC/schemes_ShowSchemesH.aspx?schid=107,,,,Meghalaya,True
Agriculture Research Stations and Laboratories Scheme,"The ï¿½ï¿½ï¿½Agriculture Research Stations and Laboratories Schemeï¿½ï¿½ï¿½ was launched by the Department of Agriculture &amp;amp; Farmersï¿½ï¿½ï¿½ Welfare, Government of Meghalaya to conduct adaptive research trials on different crops in the Research Farms and in Farmers&amp;#39; Fields for adaptability and use of bio-pesti",Agriculture,Government of India,The applicant should be a permanent resident of Meghalaya. 1. The applicant should be a bonafide farmer engaged in agriculture.,"> Pattern of Assistance: - Adaptive research at farmers&#39; field. > Type of Assistance And Entitlement (If Any): - Training on Soil management, Providing Soil Health Cards, Conducting soil surveys, etc.","&gt; Application Process: Step 01: The eligible bonafide farmer can apply/write an application on plain paper. Step 02: Along with the application, attach copies of all the mandatory documents (self-attest, if required). Step 03: Submit the duly filled and signed application along with the documents at the nearest office of the Agriculture Development Officer of a CD Block/ Agriculture Circle. &gt; Mode of Selection of Beneficiary(s): The bonafide farmers shall be selected on a first come first serve basis. &gt; Whom to Contact: 1. District Agriculture Officers of the concerned districts 1. Sub-Divisional Agricultural Officers of the concerned sub-divisions 1. District Training Officers, Tura/Shillong 1. Agricultural Development Officers of the concerned Community and Rural Development Blocks",Passport-size photograph 1. Identity Proof 1. Documents proof of being a farmer 1. Any other document as required,https://megagriculture.gov.in/PUBLIC/schemes_ShowSchemesA.aspx?schid=82,,,,Meghalaya,True
Bhausaheb Fundkar Falbag Lagvad Scheme,"The pattern of assistance under this scheme of total amount payable in three years. The subsidy amount will be directly credited to the Aadhaar link Bank Account every year. The beneficiary has to maintain the percentage survival of fruit plant shall be minimum 80% for first year and 90% for the second year. State Sponsored Bhausaheb Fundkar Falbag Lagvad Scheme was launched by Agriculture Department of Maharashtra from Kharif Season of the year 2018-19. This scheme include the 16 perennial fruit crops like Mango, Cashew, Guava, Sapota, Custered Apple, Pomegranate, Paper Lemon, Coconut, Tamarind, Fig, Amla, Kokum, Jackfruit, Jamun, Orange, Mosambi. Farmer from Konkan division can avail benefit of 0.10 Hector to 10.00 Hector And rest Of Maharashtra 0.20 Ha. to 6.00 Ha. planting under the scheme.",Agriculture,Government of India,The beneficiary should be a permanent resident of Maharashtra State Farmer should have Aadhaar Card. Farmer should have 7/12 certificate and 8 ï¿½ï¿½ï¿½A certificate.,"Subsidy through DBT is given to farmer for plantation of 16 perennial fruit crops like Mango, Cashew, Guava, Sapota, Custered Apple, Pomegranate, Paper Lemon, Coconut, Tamarind, Fig, Amla, Kokum, Jackfruit, Jamun, Orange, Mosambi, for below mentioned activities : 1. Pit Diggsing 2. Planting grafts/seedling 3. Application of chemical and organic fertilizers. 4. Crop Protection 5. Gap filling","Application link: https://mahadbt.maharashtra.gov.in/ Application Process: 1. Go to the Aaple Sarkar DBT Portal at https://mahadbt.maharashtra.gov.in/. 2. In that go to Farmer Scheme 3. Click on the ï¿½ï¿½ï¿½New Applicant Registrationï¿½ï¿½ï¿½ button. 4. Enter your basic personal information, including your name, Aadhaar number, mobile number, and email address. 5. Create a username and password. 6. After completion of registration, login to your account and complete the form by entering Personal details,Address details and Land information details to complete profile 100%. 7. After completing profile, apply for the implements, details of implement and its specifications etc and pay the fees to complete application","Aadhaar Card 2. 7/12 Certificate 3. 8-A Certificate 4. Caste Certificate for SC,ST beneficiaries 5. Self Declaration 6. Pre Sanction Letter 7. Invoice of Implement",https://gr.maharashtra.gov.in/Site/Upload/Government%20Resolutions/English/201807061207371701...pdf,,,,Maharashtra,True
